	V1
1	(-)-atenolol
2	(-)-isoprenaline
3	(-)-MK-801
4	(+)-chelidonine
5	(+)-isoprenaline
6	(+/-)-catechin
7	10-methoxyharmalan
8	15-delta prostaglandin J2
9	2-aminobenzenesulfonamide
10	3-acetamidocoumarin
11	3-acetylcoumarin
12	3-hydroxy-DL-kynurenine
13	4-hydroxyphenazone
14	6-azathymine
15	6-benzylaminopurine
16	7-aminocephalosporanic acid
17	8-azaguanine
18	abamectin
19	acacetin
20	acebutolol
21	acemetacin
22	acenocoumarol
23	acepromazine
24	acetazolamide
25	acetohexamide
26	acetylsalicylic acid
27	acetylsalicylsalicylic acid
28	aciclovir
29	aconitine
30	adenosine phosphate
31	adiphenine
32	adipiodone
33	adrenosterone
34	alclometasone
35	alexidine
36	alfadolone
37	alfuzosin
38	alimemazine
39	allantoin
40	alpha-ergocryptine
41	alpha-estradiol
42	alprenolol
43	alprostadil
44	altizide
45	altretamine
46	alverine
47	alvespimycin
48	amantadine
49	ambroxol
50	amikacin
51	amiloride
52	aminocaproic acid
53	aminohippuric acid
54	aminophenazone
55	aminophylline
56	amiodarone
57	amiprilose
58	amitriptyline
59	amodiaquine
60	amoxapine
61	amoxicillin
62	amphotericin B
63	ampicillin
64	amprolium
65	ampyrone
66	amrinone
67	amylocaine
68	androsterone
69	anisomycin
70	antazoline
71	antimycin A
72	apigenin
73	apomorphine
74	apramycin
75	arcaine
76	arecoline
77	artemisinin
78	articaine
79	ascorbic acid
80	asiaticoside
81	astemizole
82	atovaquone
83	atractyloside
84	atropine
85	atropine methonitrate
86	atropine oxide
87	azacyclonol
88	azaperone
89	azapropazone
90	azathioprine
91	azlocillin
92	aztreonam
93	bacampicillin
94	baclofen
95	bambuterol
96	beclometasone
97	bemegride
98	bendroflumethiazide
99	benfluorex
100	benfotiamine
101	benperidol
102	benzamil
103	benzathine benzylpenicillin
104	benzbromarone
105	benzocaine
106	benzonatate
107	benzthiazide
108	benzydamine
109	benzylpenicillin
110	bephenium hydroxynaphthoate
111	bepridil
112	berberine
113	bergenin
114	beta-escin
115	betahistine
116	betamethasone
117	betaxolol
118	betazole
119	bethanechol
120	betonicine
121	betulinic acid
122	bezafibrate
123	bicuculline
124	biotin
125	biperiden
126	bisacodyl
127	bisoprolol
128	boldine
129	bretylium tosilate
130	brinzolamide
131	bromocriptine
132	bromopride
133	brompheniramine
134	bucladesine
135	budesonide
136	bufexamac
137	buflomedil
138	bumetanide
139	bupivacaine
140	bupropion
141	buspirone
142	butacaine
143	butamben
144	butirosin
145	butoconazole
146	butyl hydroxybenzoate
147	caffeic acid
148	calcium folinate
149	calcium pantothenate
150	calycanthine
151	canadine
152	canavanine
153	capsaicin
154	captopril
155	carbachol
156	carbamazepine
157	carbarsone
158	carbenoxolone
159	carbinoxamine
160	carcinine
161	carisoprodol
162	carteolol
163	cefaclor
164	cefadroxil
165	cefalexin
166	cefalonium
167	cefalotin
168	cefapirin
